City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
304,Methoni,GR,36.8197,21.7049,54.0,100,99,2.3,overcast clouds
305,Mehamn,NO,71.0357,27.8492,30.2,80,90,41.43,snow
306,Mogadishu,SO,2.0371,45.3438,77.74,82,86,21.77,overcast clouds
307,Ostrovnoy,RU,68.0531,39.5131,25.84,95,98,16.84,overcast clouds
308,Zhaotong,CN,27.3167,103.7167,34.34,80,88,2.59,overcast clouds
309,Tazovskiy,RU,67.4667,78.7,-14.55,88,100,15.79,overcast clouds
310,Fort Frances,CA,48.5999,-93.4003,16.0,32,1,6.91,clear sky
311,Breisach,DE,48.0333,7.5833,42.8,65,0,8.05,clear sky
312,Nadvoitsy,RU,63.8667,34.3167,28.44,95,41,12.88,scattered clouds
313,Ingleside,US,27.8778,-97.2117,55.99,100,90,19.57,overcast clouds
314,Palauig,PH,15.435,119.9045,79.14,75,56,4.21,broken clouds
315,Clarence Town,AU,-32.5833,151.7833,73.99,73,40,9.22,scattered clouds
316,Sovetskiy,RU,61.3614,63.5842,-1.68,92,98,10.83,overcast clouds
317,Gawler,AU,-34.6,138.7333,55.99,51,100,11.01,overcast clouds
318,Charleston,US,32.7766,-79.9309,77.0,53,1,8.05,clear sky
319,Iwanai,JP,42.9744,140.5089,26.87,93,100,8.41,light snow
320,Kavarna,BG,43.4333,28.3333,39.2,87,90,10.36,overcast clouds
321,Nkhotakota,MW,-12.9274,34.2961,73.2,80,95,3.62,overcast clouds
322,Nouadhibou,MR,20.931,-17.0347,66.2,63,0,17.27,clear sky
323,Geraldton,AU,-28.7667,114.6,66.2,88,40,4.61,scattered clouds
324,Padang,ID,-0.9492,100.3543,77.0,94,90,1.14,overcast clouds
325,Sioux Lookout,CA,50.1001,-91.917,6.8,30,40,4.61,scattered clouds
326,Oliveira Do Hospital,PT,40.3618,-7.8601,54.0,86,71,1.36,broken clouds
327,Letnyaya Stavka,RU,45.4306,43.4472,33.12,94,85,4.99,overcast clouds
328,Saint George,US,37.1041,-113.5841,61.0,12,1,4.61,clear sky
329,Micheweni,TZ,-4.9667,39.8333,78.55,82,79,5.82,broken clouds
330,Chifeng,CN,42.2683,118.9636,13.57,84,0,2.21,clear sky
331,Salalah,OM,17.0151,54.0924,73.4,38,0,5.75,clear sky
332,Malanje,AO,-9.5402,16.341,65.91,92,100,2.89,overcast clouds
333,Yelovo,RU,57.0538,54.9207,-0.31,92,67,11.14,broken clouds
334,Hervey Bay,AU,-25.2986,152.8535,81.0,80,80,8.99,broken clouds
335,Duma,CN,34.7653,108.135,28.4,93,0,4.47,clear sky
336,Coquimbo,CL,-29.9533,-71.3436,66.2,72,20,8.05,few clouds
337,Itarema,BR,-2.9248,-39.9167,78.98,79,99,10.71,overcast clouds
338,Port Hueneme,US,34.1478,-119.1951,71.6,14,1,13.8,clear sky
339,Pimentel,PE,-6.8367,-79.9342,80.6,54,0,14.97,clear sky
340,Staicele,LV,57.8364,24.75,35.01,94,84,4.0,broken clouds
341,Sisimiut,GL,66.9395,-53.6735,5.04,81,99,20.45,overcast clouds
342,Ambon,ID,-3.6954,128.1814,77.0,78,40,3.44,light rain
343,Kirensk,RU,57.7853,108.1119,-10.84,89,100,2.01,overcast clouds
344,Vostok,RU,46.4856,135.8833,-14.33,87,30,0.29,scattered clouds
